On,Off,Ms,Scs,Dev,|,freq,Nd=0,Nd=1,Nd=10,Nd=11,Nd=12,Nd=13,Nd=14,Nd=2,Nd=3,Nd=4,Nd=5,Nd=6,Nd=7,Nd=8,Nd=9,|2,Nd=03,Nd=15,Nd=106,Nd=117,Nd=128,Nd=139,Nd=1410,Nd=211,Nd=312,Nd=413,Nd=514,Nd=615,Nd=716,Nd=817,Nd=918,rule,#correct,%correct,p(rule),p(margin),dev_same_as_rule
1,2,3,2,10,|,35,0,0,68.571,17.143,2.857,0,0,0,0,0,0,0,0,0,11.429,|,0,0,69.546,12.102,1.872,0.252,0.625,0,0,0,0.001,0.013,0.003,0.438,15.147,10,24,68.571,0,0,1
0,0,5,2,10,|,881,0,0,68.558,4.313,0.227,0,0.114,0,0,0,0,0,0,0,26.788,|,0,0,65.199,7.748,0.537,0.058,0.078,0,0,0,0.026,0.114,0.015,1.083,25.144,10,604,68.558,0,0,1
0,1,4,2,6,|,1833,0,0,0,0,0,0,0.055,0,0,0,16.421,68.522,13.312,1.637,0.055,|,0,0.001,0.023,0.01,0.003,0.002,0.035,0.001,0.005,0.142,17.789,69.798,11.058,1.015,0.118,6,1256,68.522,0,0,1
0,1,5,2,9,|,162,0,0,10.494,1.235,0.617,0,0,0,0,0,0,0,0,19.136,68.519,|,0,0,9.367,0.641,0.055,0.011,0.028,0,0,0,0.007,0.013,0.66,22.85,66.368,9,111,68.519,0,0,1
1,1,4,2,9,|,273,0,0,11.722,1.099,0,0,0,0,0,0,0,0,0,18.681,68.498,|,0,0,11.455,0.885,0.102,0.021,0.048,0,0,0,0.004,0.008,0.455,19.465,67.556,9,187,68.498,0,0,1
2,1,0,4,8,|,38,0,0,2.632,0,0,0,0,0,0,0,0,0,21.053,68.421,7.895,|,0,0,1.91,0.31,0.156,0,0,0,0,0,0.008,0.752,21.131,58.405,17.328,8,26,68.421,0,0,1
2,2,2,4,9,|,19,0,0,15.789,10.526,0,0,0,0,0,0,0,0,0,5.263,68.421,|,0,0,13.446,1.441,0.356,0.081,0.253,0,0,0.002,0,0,1.151,28.392,54.879,9,13,68.421,0,0,1
0,1,2,5,0,|,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,|,44.244,0,0,0,0,0,0,0,0,2.459,3.162,37.89,6.594,2.942,2.708,0,0,0,1,1,1
0,1,2,5,6,|,1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,|,0,0,0,0.063,0.075,0,0.117,0,0,0,3.804,91.318,4.136,0.345,0.141,6,0,0,1,1,1
0,1,2,6,1,|,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,|,0,11.623,0,0,0,0,14.813,0,0,0,0,49.689,23.875,0,0,6,0,0,1,1,0
0,1,2,6,2,|,3,0,0,0,0,0,0,0,33.333,0,0,0,0,66.667,0,0,|,0,0,0,0,0,0,0,7.514,0,0,7.325,0,35.343,31.838,17.98,7,2,66.667,0.823,0.973,0
0,1,2,6,3,|,2,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,|,0,0,2.93,2.774,2.657,0,3.052,0,5.584,7.121,4.446,38.303,27.753,1.886,3.495,6,1,50,1,1,0
0,1,2,6,4,|,2,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,|,0,0,4.201,0,0.904,1.009,1.898,0.759,0,6.1,10.845,47.728,19.942,4.065,2.548,6,0,0,0.998,1,0
0,1,2,6,7,|,2,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,|,0,0.809,3.741,0,0,1.887,1.905,0,1.208,0,8.529,19.959,24.191,22.618,15.151,7,0,0,1,1,1
0,1,2,6,8,|,4,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0,|,0,0,3.99,0,0,0,4.536,0,0,0,2.266,15.946,23.339,33.764,16.159,8,3,75,0.931,0.998,1
0,1,2,6,9,|,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,|,0,0,5.943,0,0,0,4.467,0,1.569,0,2.615,44.075,27.272,2.472,11.587,6,0,0,1,1,0
0,1,2,6,10,|,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,|,0,0,14.957,21.517,0,0,0,0,0,0,0,25.659,13.657,12.412,11.799,6,0,0,1,1,0
0,1,2,6,11,|,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,|,0,0,3.577,13.887,26.012,0,12.077,0,0,0,0,28.321,16.126,0,0,6,0,0,1,1,0
1,0,2,2,8,|,1777,0,0,1.238,0,0,0.056,0,0,0,0,0,0.563,20.034,68.261,9.848,|,0,0,1.223,0.108,0.045,0.031,0.223,0,0,0,0.006,0.474,19.549,67.596,10.746,8,1213,68.261,0,0,1
1,1,4,2,8,|,400,0,0,2.75,0,0.25,0,0,0,0,0,0,0,19.25,68.25,9.5,|,0,0,1.142,0.078,0.025,0.011,0.035,0,0,0,0.007,0.559,20.416,67.004,10.722,8,273,68.25,0,0,1
1,0,3,2,9,|,1374,0,0,10.699,0.801,0.073,0.073,0,0,0,0,0,0,0.073,20.087,68.195,|,0,0,11.14,0.979,0.135,0.039,0.148,0,0,0,0.004,0.009,0.491,20.582,66.474,9,937,68.195,0,0,1
1,2,3,4,6,|,66,0,0,0,0,0,0,0,0,0,3.03,18.182,68.182,10.606,0,0,|,0,0,0.017,0.009,0.012,0,0.034,0.029,0.036,1.205,36.185,53.994,7.8,0.578,0.1,6,45,68.182,0,0,1
0,2,1,2,10,|,44,0,0,68.182,18.182,4.545,2.273,0,0,0,0,0,0,0,0,6.818,|,0,0,68.087,16.524,2.468,0.311,0.916,0,0,0,0,0.003,0.001,0.235,11.454,10,30,68.182,0,0,1
2,0,3,3,11,|,22,0,0,4.545,68.182,22.727,4.545,0,0,0,0,0,0,0,0,0,|,0,0,18.985,40.582,23.542,2.357,0.14,0,0,0,0,0,0.133,0.164,14.099,11,15,68.182,0,0,1
2,1,2,4,12,|,22,0,0,0,27.273,68.182,4.545,0,0,0,0,0,0,0,0,0,|,0,0,1.768,31.727,57.614,7.709,1.11,0,0,0,0,0,0,0,0.073,12,15,68.182,0,0,1
2,1,3,4,10,|,22,0,0,68.182,0,0,0,0,0,0,0,0,0,0,0,31.818,|,0,0,57.332,9.965,0.551,0.22,0.051,0,0,0,0,0,0,1.605,30.276,10,15,68.182,0,0,1
1,1,0,4,7,|,248,0,0,0,0,0,0,0,0,0,0,0.403,25.403,68.145,6.048,0,|,0,0,0.113,0.046,0.056,0.054,0.022,0,0,0.014,1.133,27.711,58.429,11.594,0.827,7,169,68.145,0,0,1
2,1,1,4,9,|,94,0,0,10.638,1.064,1.064,0,0,0,0,0,0,0,0,19.149,68.085,|,0,0,14.033,1.548,0.252,0.044,0.047,0,0,0.002,0,0,0.943,23.565,59.565,9,64,68.085,0,0,1
1,0,5,2,3,|,47,0,0,0,0,0,0,0,10.638,68.085,8.511,10.638,2.128,0,0,0,|,0,0.038,0.001,0.001,0,0,0.004,16.049,67.547,11.519,3.281,1.477,0.07,0.012,0.002,3,32,68.085,0,0,1
1,2,3,2,9,|,47,0,0,14.894,0,0,0,0,0,0,0,0,0,0,17.021,68.085,|,0,0,14.841,1.424,0.27,0.077,0.431,0,0,0,0.001,0.004,0.308,17.854,64.791,9,32,68.085,0,0,1
1,1,3,4,5,|,285,0,0,0,0,0,0,0,0,0,20,68.07,11.579,0,0.351,0,|,0,0.017,0,0.01,0.004,0,0.003,0.021,0.665,22.966,62.487,13.116,0.583,0.12,0.008,5,194,68.07,0,0,1
1,1,5,2,8,|,119,0,0,0.84,0,0,0,0,0,0,0,0,0,21.849,68.067,9.244,|,0,0,0.729,0.039,0.009,0.004,0.01,0,0,0,0.013,0.807,24.831,65.379,8.178,8,81,68.067,0,0,1
1,0,3,2,11,|,501,0,0,19.76,68.064,11.178,0.399,0.2,0,0,0,0,0,0,0,0.399,|,0,0,19.179,65.403,12.717,1.617,0.458,0,0,0,0,0.028,0.019,0.03,0.549,11,341,68.064,0,0,1
1,0,4,2,12,|,122,0,0,0,20.492,68.033,9.016,2.459,0,0,0,0,0,0,0,0,|,0.006,0,0.529,20.539,67.113,10.468,1.18,0,0,0,0,0.026,0.096,0.023,0.02,12,83,68.033,0,0,1
0,1,3,3,0,|,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,|,49.294,50.706,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,1,0
0,1,3,3,1,|,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,|,41.803,11.491,0,0,0,0,0,46.706,0,0,0,0,0,0,0,2,0,0,1,1,0
1,2,2,4,7,|,75,0,0,0,0,0,0,0,0,0,0,1.333,16,68,14.667,0,|,0,0,0.073,0.028,0.037,0.043,0.041,0,0,0.014,1.18,27.279,59.6,11.147,0.557,7,51,68,0,0,1
2,0,2,3,10,|,25,0,0,68,16,0,0,0,0,0,0,0,0,0,8,8,|,0,0,44.059,24.791,4.238,0.362,0.162,0,0,0,0,0.028,0.037,11.171,15.152,10,17,68,0,0,1
0,0,5,2,4,|,2602,0,0,0,0,0,0,0,0,19.447,67.871,8.686,3.574,0.269,0.077,0.077,|,0,0,0.003,0.001,0,0,0.005,0.118,18.185,67.183,11.288,3.066,0.126,0.022,0.003,4,1766,67.871,0,0,1
0,2,2,2,9,|,28,0,0,10.714,0,0,0,0,0,0,0,0,0,0,21.429,67.857,|,0,0,15.872,1.974,0.399,0.13,1.354,0,0,0,0.001,0.002,0.247,15.544,64.476,9,19,67.857,0,0,1
0,1,3,2,7,|,3483,0,0,0.287,0.086,0,0.029,0,0,0,0,0.345,15.734,67.844,14.269,1.407,|,0,0,0.169,0.036,0.016,0.002,0.125,0,0.001,0,0.24,17.75,68.014,12.348,1.3,7,2363,67.844,0,0,1
1,1,2,2,8,|,973,0,0,1.542,0,0,0,0,0,0,0,0,0.411,19.938,67.831,10.277,|,0,0,1.59,0.147,0.061,0.038,0.221,0,0,0,0.004,0.361,17.157,67.611,12.809,8,660,67.831,0,0,1
0,1,3,2,11,|,898,0,0,13.586,67.817,16.036,2.116,0.223,0,0,0,0,0.111,0,0,0.111,|,0,0,16.768,67.462,13.205,1.601,0.479,0,0,0,0,0.012,0.01,0.019,0.443,11,609,67.817,0,0,1
0,0,3,2,10,|,3445,0,0,67.808,10.682,0.9,0.058,0.29,0,0,0,0.029,0,0,0.871,19.361,|,0,0,65.844,11.845,1.338,0.19,0.424,0,0,0,0.005,0.033,0.006,0.598,19.716,10,2336,67.808,0,0,1
1,0,0,4,7,|,152,0,0,0,0,0,0,0,0,0,0,1.974,19.737,67.763,9.211,1.316,|,0,0,0.074,0.029,0.035,0.037,0.019,0,0,0.025,1.613,30.994,56.71,9.874,0.591,7,103,67.763,0,0,1
1,1,2,2,6,|,1771,0,0,0,0,0,0,0,0,0,0.113,18.238,67.758,12.535,1.299,0.056,|,0,0,0.043,0.022,0.009,0.006,0.187,0,0.002,0.092,14.442,70.074,13.464,1.469,0.189,6,1200,67.758,0,0,1
0,1,3,2,6,|,4859,0,0,0,0,0,0,0.103,0,0,0.041,15.867,67.689,14.365,1.605,0.329,|,0,0,0.035,0.018,0.007,0.005,0.129,0,0.003,0.104,15.383,70.085,12.754,1.309,0.169,6,3289,67.689,0,0,1
1,0,2,2,9,|,1030,0,0,10.388,0.583,0.097,0.097,0.097,0,0,0,0,0,0.388,20.68,67.67,|,0,0,12.043,1.215,0.178,0.058,0.299,0,0,0,0.003,0.007,0.428,19.284,66.485,9,697,67.67,0,0,1
0,1,3,2,8,|,2486,0,0,1.931,0.241,0.04,0,0.121,0,0,0,0,0.161,16.372,67.659,13.475,|,0,0,1.453,0.132,0.052,0.03,0.17,0,0,0,0.004,0.401,18.071,66.962,12.724,8,1682,67.659,0,0,1
0,1,3,4,1,|,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,|,38.709,29.465,0,0,0,0,0,11.14,0,0,7.361,13.324,0,0,0,0,1,100,1,1,0
0,1,3,4,2,|,2,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,|,0.534,18.367,0,0,0,0,0,45.293,14.219,3.869,9.188,8.531,0,0,0,2,1,50,0.999,0.006,1
1,0,2,2,7,|,2890,0,0,0.138,0.069,0,0,0,0,0,0,0.242,20.415,67.612,10.484,1.038,|,0,0,0.13,0.027,0.013,0.001,0.152,0,0.001,0,0.312,19.264,67.633,11.458,1.009,7,1954,67.612,0,0,1
0,1,3,4,5,|,197,0,0,0,0,0,0,0,0,0.508,18.782,67.513,12.183,1.015,0,0,|,0,0.017,0,0.013,0.006,0,0.005,0.022,0.662,21.961,62.743,13.766,0.657,0.137,0.01,5,133,67.513,0,0,1
0,0,4,2,3,|,3323,0,0,0,0,0,0.06,0.181,14.505,67.499,9.75,4.364,3.37,0.241,0.03,0,|,0,0.027,0.003,0.007,0.003,0.004,0.077,14.302,65.673,11.884,4.86,2.938,0.177,0.039,0.007,3,2243,67.499,0,0,1
1,0,5,2,4,|,169,0,0,0,0,0,0,0,0,17.751,67.456,10.651,3.55,0.592,0,0,|,0,0,0.002,0.001,0,0,0.003,0.106,17.747,68.253,10.921,2.838,0.109,0.018,0.003,4,114,67.456,0,0,1
0,0,5,2,5,|,4446,0,0,0,0,0,0,0,0,0.067,23.707,67.409,8.142,0.54,0.135,0,|,0,0,0.001,0,0,0,0.004,0.003,0.139,22.241,66.757,10.141,0.645,0.06,0.008,5,2997,67.409,0,0,1
0,1,5,2,7,|,318,0,0,0.314,0,0,0,0,0,0,0,0,18.239,67.296,12.264,1.887,|,0,0,0.065,0.009,0.002,0,0.009,0,0.003,0,0.478,23.651,66.479,8.661,0.643,7,214,67.296,0,0,1
1,1,3,4,11,|,107,0,0,25.234,67.29,6.542,0.935,0,0,0,0,0,0,0,0,0,|,0,0,35.83,52.927,8.116,0.331,0.089,0,0,0,0,0,0,0.09,2.616,11,72,67.29,0,0,1
1,1,4,2,12,|,107,0,0,1.869,15.888,67.29,14.019,0.935,0,0,0,0,0,0,0,0,|,0.003,0,0.511,20.753,67.95,9.8,0.871,0,0,0,0,0.015,0.063,0.017,0.018,12,72,67.29,0,0,1
0,1,5,4,6,|,269,0,0,0,0,0,0,0,0.743,0.372,1.487,67.286,26.394,2.23,1.115,0.372,|,0,0,0.003,0.001,0.001,0,0.001,0.086,0.075,2.453,47.791,45.389,4,0.177,0.025,5,181,67.286,0,0,0
0,0,5,2,6,|,3717,0,0,0,0.054,0,0,0,0,0,0,26.634,67.151,5.677,0.484,0,|,0,0.005,0.005,0.002,0,0,0.005,0.004,0.016,0.369,26.949,64.635,7.487,0.484,0.037,6,2496,67.151,0,0,1
0,0,5,2,11,|,633,0,0,25.592,67.141,6.793,0.474,0,0,0,0,0,0,0,0,0,|,0,0,25.439,64.687,7.745,0.767,0.177,0,0,0,0,0.112,0.06,0.068,0.944,11,425,67.141,0,0,1
2,1,2,4,9,|,76,0,0,9.211,2.632,0,1.316,0,0,0,0,0,0,0,19.737,67.105,|,0,0,11.284,1.157,0.208,0.045,0.074,0,0,0.004,0,0,1.386,28.144,57.699,9,51,67.105,0,0,1
0,1,3,6,4,|,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,|,0,0,3.109,0,0.549,0.552,0.751,1.132,0,7.905,12.557,49.643,18.291,3.471,2.038,6,0,0,1,1,0
0,1,4,2,0,|,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,|,77.622,14.89,0.088,0,0,0,0.252,2.304,0.423,0.618,1.766,1.399,0.228,0.21,0.198,0,0,0,1,1,1
2,0,1,2,10,|,85,0,0,67.059,20,1.176,0,0,0,0,0,0,0,0,1.176,10.588,|,0,0,69.444,15.644,1.754,0.216,0.275,0,0,0,0,0.004,0.001,0.241,12.42,10,57,67.059,0,0,1
0,1,5,2,6,|,437,0,0,0,0,0,0,0.229,0,0,0,17.391,67.048,14.188,1.144,0,|,0,0.004,0.01,0.003,0.001,0,0.007,0.002,0.009,0.242,22.194,67.756,9.045,0.666,0.061,6,293,67.048,0,0,1
1,1,4,2,7,|,609,0,0,0,0,0,0,0,0,0,0,0,18.719,66.995,12.479,1.806,|,0,0,0.115,0.018,0.007,0,0.023,0,0.001,0,0.352,21.396,66.455,10.686,0.948,7,408,66.995,0,0,1
0,0,2,2,6,|,10845,0,0.009,0.028,0.018,0.018,0.018,0.664,0.009,0.018,0.655,17.344,66.943,13.011,1.153,0.111,|,0,0,0.028,0.016,0.007,0.005,0.254,0.001,0.003,0.131,17.239,68.687,12.301,1.189,0.138,6,7260,66.943,0,0,1
0,1,4,2,13,|,151,0,0,0,0,18.543,66.887,14.57,0,0,0,0,0,0,0,0,|,0,0,0.031,0.355,24.144,64.292,11.102,0,0,0,0.014,0.039,0.023,0,0,13,101,66.887,0,0,1
0,0,2,2,7,|,7006,0,0,0.128,0.057,0.029,0,0.571,0,0,0,1.299,17.742,66.886,12.19,1.099,|,0,0,0.142,0.033,0.016,0.002,0.259,0,0.001,0,0.281,18.125,68.346,11.694,1.103,7,4686,66.886,0,0,1
0,0,4,2,4,|,8301,0,0,0.012,0,0.012,0,0.024,0.012,15.721,66.715,12.107,4.999,0.313,0.072,0.012,|,0,0,0.01,0.004,0.002,0.002,0.043,0.086,15.685,64.016,14.703,5.133,0.251,0.053,0.011,4,5538,66.715,0,0,1
1,1,1,4,5,|,486,0,0,0,0,0,0,0,0,1.235,22.428,66.667,9.259,0.412,0,0,|,0,0.029,0,0.047,0.02,0,0.011,0.025,0.65,21.458,60.417,16.007,1.03,0.281,0.025,5,324,66.667,0,0,1
0,0,2,4,5,|,462,0,0,0,0.216,0,0,0,0,0.433,21.212,66.667,10.606,0.216,0.649,0,|,0,0.017,0,0.01,0.005,0,0.01,0.025,0.758,24.418,62.155,11.926,0.56,0.11,0.007,5,308,66.667,0,0,1
1,1,0,4,8,|,162,0,0,0,0.617,0,0,0,0,0,0,0,3.086,24.074,66.667,5.556,|,0,0,1.143,0.162,0.079,0,0,0,0,0,0.019,1.251,27.108,56.98,13.257,8,108,66.667,0,0,1
2,1,2,4,5,|,48,0,0,0,0,2.083,0,0,0,0,20.833,66.667,8.333,0,2.083,0,|,0,0,0,0.082,0.04,0,0.035,0,0.461,14.258,61.399,21.844,1.427,0.417,0.038,5,32,66.667,0,0,1
2,0,2,4,8,|,39,0,0,2.564,0,5.128,0,0,0,0,0,0,0,12.821,66.667,12.821,|,0,0,0.813,0.112,0.045,0,0,0,0,0,0.023,1.542,30.172,56.788,10.506,8,26,66.667,0,0,1
0,0,1,2,0,|,30,66.667,13.333,0,0,0,0,0,13.333,0,3.333,0,3.333,0,0,0,|,74.183,13.125,0.358,0,0,0,3.074,2.349,0.477,0.762,2.117,1.931,0.455,0.542,0.627,0,20,66.667,0,0,1
0,0,2,3,3,|,30,0,0,0,0,0,0,0,3.333,66.667,23.333,3.333,3.333,0,0,0,|,0,0,0,0,0,0,0,10.431,52.739,31.852,4.449,0.528,0,0,0,3,20,66.667,0,0,1
0,1,4,3,0,|,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,|,50.97,49.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,1,1,1
0,1,4,3,2,|,4,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,|,0,11.358,0,0,0,0,0,58.375,28.8,1.467,0,0,0,0,0,2,4,100,0.274,0,1
1,0,4,3,8,|,30,0,0,0,0,0,0,0,0,0,0,0,10,6.667,66.667,16.667,|,0,0,1.725,0.085,0.012,0.009,0.005,0,0,0,0,19.522,22.221,38.802,17.62,8,20,66.667,0,0,1
1,2,3,4,10,|,27,0,0,66.667,25.926,3.704,0,0,0,0,0,0,0,0,0,3.704,|,0,0,56.971,9.042,0.661,0.284,0.144,0,0,0,0,0,0,2.201,30.697,10,18,66.667,0,0,1
2,0,1,2,12,|,27,0,0,0,14.815,66.667,11.111,7.407,0,0,0,0,0,0,0,0,|,0,0,0.269,17.534,68.354,12.441,1.385,0,0,0,0,0.001,0.008,0.003,0.006,12,18,66.667,0,0,1
2,1,1,4,12,|,24,0,0,4.167,29.167,66.667,0,0,0,0,0,0,0,0,0,0,|,0,0,1.789,34.535,56.827,6.215,0.572,0,0,0,0,0,0,0,0.061,12,16,66.667,0,0,1
1,2,1,2,9,|,21,0,0,14.286,0,0,0,0,0,0,0,0,0,0,19.048,66.667,|,0,0,19.094,2.263,0.412,0.107,0.529,0,0,0,0,0.001,0.175,13.403,64.015,9,14,66.667,0,0,1
1,0,5,4,8,|,18,0,0,0,0,0,0,0,0,0,0,5.556,0,66.667,27.778,0,|,0,0,0.185,0.013,0.003,0,0,0,0,0,0.179,4.748,46.326,44.304,4.244,7,12,66.667,0,0,0
2,0,0,4,5,|,18,0,0,0,0,0,0,0,0,0,5.556,66.667,27.778,0,0,0,|,0,0,0,0.13,0.079,0,0.067,0,0.78,18.039,59.625,19.409,1.372,0.453,0.047,5,12,66.667,0,0.064,1
2,1,3,3,9,|,18,0,0,22.222,0,0,0,0,0,0,0,0,0,5.556,5.556,66.667,|,0,0,29.89,3.934,0.497,0,0.056,0,0,0,0,0.042,8.335,14.971,42.274,9,12,66.667,0,0,1
0,2,3,2,12,|,15,0,0,0,6.667,66.667,20,6.667,0,0,0,0,0,0,0,0,|,0,0,0.224,12.728,68.793,14.12,4.108,0,0,0,0,0.002,0.013,0.005,0.006,12,10,66.667,0,0,1
2,2,2,4,11,|,15,0,0,20,66.667,13.333,0,0,0,0,0,0,0,0,0,0,|,0,0,27.96,56.7,13.129,0.621,0.379,0,0,0,0,0,0,0.032,1.179,11,10,66.667,0,0,1
0,1,4,3,13,|,7,0,0,0,0,42.857,57.143,0,0,0,0,0,0,0,0,0,|,0,0,0,25.644,22.831,39.528,11.997,0,0,0,0,0,0,0,0,13,4,57.143,0.131,0,1
1,1,4,3,11,|,12,0,0,8.333,66.667,8.333,0,0,0,0,0,0,0,0,0,16.667,|,0,0,22.548,37.05,17.347,1.25,0.052,0,0,0,0,0,0.306,0.292,21.155,11,8,66.667,0.001,0,1
0,1,4,4,2,|,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,|,0.862,27.733,0,0,0,0,0,49.301,11.276,2.344,4.714,3.77,0,0,0,2,0,0,1,1,1
0,1,4,4,3,|,3,0,0,0,0,0,0,0,33.333,66.667,0,0,0,0,0,0,|,0,0.639,0,0,0,0,0,30.929,50.118,6.84,7.6,3.874,0,0,0,3,2,66.667,0.515,0,1
2,1,0,2,6,|,12,0,0,8.333,0,0,0,0,0,0,0,16.667,66.667,8.333,0,0,|,0,0,0.313,0.211,0.113,0.068,1.356,0,0.001,0.035,7.601,65.399,20.316,3.756,0.83,6,8,66.667,0,0.457,1
2,1,1,4,13,|,12,0,0,0,0,33.333,66.667,0,0,0,0,0,0,0,0,0,|,0,0,0,2.352,41.752,51.75,4.146,0,0,0,0,0,0,0,0,13,8,66.667,0,0,1
0,2,2,4,3,|,9,0,0,0,0,0,0,0,22.222,66.667,0,11.111,0,0,0,0,|,0,0.719,0,0,0,0,0,26.639,49.068,6.658,9.806,7.11,0,0,0,3,6,66.667,0.004,0,1
1,2,4,4,9,|,9,0,0,0,0,0,0,0,0,0,0,0,0,0,33.333,66.667,|,0,0,8.18,0.561,0.105,0.017,0.034,0,0,0.029,0,0,2.487,38.847,49.74,9,6,66.667,0,0.001,1
2,0,3,2,11,|,9,0,0,33.333,66.667,0,0,0,0,0,0,0,0,0,0,0,|,0,0,17.136,66.859,13.484,1.69,0.413,0,0,0,0,0.009,0.008,0.016,0.384,11,6,66.667,0,0,1
2,2,1,2,7,|,9,0,0,0,0,0,0,0,0,0,0,0,11.111,66.667,22.222,0,|,0,0,1.004,0.281,0.17,0.015,1.316,0,0,0,0.048,7.223,62.537,23.715,3.691,7,6,66.667,0,0.221,1
0,1,0,4,13,|,6,0,0,0,0,16.667,66.667,16.667,0,0,0,0,0,0,0,0,|,0,0,0,1.592,37.928,52.376,8.104,0,0,0,0,0,0,0,0,13,4,66.667,0.02,0,1
1,0,5,3,14,|,6,0,0,0,0,16.667,16.667,66.667,0,0,0,0,0,0,0,0,|,0,0,0,0.921,9.624,11.792,76.698,0,0,0,0,0,0,0,0.965,14,4,66.667,0,0,1
1,2,4,2,11,|,6,0,0,16.667,66.667,16.667,0,0,0,0,0,0,0,0,0,0,|,0,0,20.214,63.335,14.152,1.351,0.44,0,0,0,0,0.014,0.013,0.024,0.457,11,4,66.667,0.008,0,1
2,0,2,4,13,|,6,0,0,0,0,16.667,66.667,16.667,0,0,0,0,0,0,0,0,|,0,0,0,1.733,33.88,55.555,8.832,0,0,0,0,0,0,0,0,13,4,66.667,0.017,0,1
2,0,3,4,5,|,6,0,0,0,0,0,0,0,0,0,33.333,66.667,0,0,0,0,|,0,0,0,0.02,0.009,0,0.007,0,0.836,20.313,62.213,15.62,0.781,0.186,0.013,5,4,66.667,0.002,0.818,1
0,1,5,2,0,|,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,|,88.169,9.262,0.009,0,0,0,0.011,1.193,0.185,0.245,0.512,0.315,0.043,0.032,0.024,0,1,100,1,1,1
0,1,5,2,1,|,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,|,19.596,67.327,0.005,0.003,0.005,0.001,0.027,10.88,0.725,0.209,0.876,0.245,0.058,0.035,0.006,1,2,100,0.95,0,1
2,2,0,4,9,|,6,0,0,0,0,0,0,0,0,0,0,0,0,0,33.333,66.667,|,0,0,18.009,2.181,0.676,0.134,0.332,0,0,0.001,0,0,0.681,21.656,56.33,9,4,66.667,0.008,0.006,1
2,2,3,4,12,|,6,0,0,0,16.667,66.667,0,16.667,0,0,0,0,0,0,0,0,|,0,0,1.624,26.507,62.307,7.942,1.563,0,0,0,0,0,0,0,0.058,12,4,66.667,0.001,0,1
0,0,1,5,7,|,3,0,0,0,0,0,0,0,0,0,0,0,33.333,66.667,0,0,|,0,0,0,0.25,0,0.058,0,0,0,0,0.173,13.826,81.665,4.028,0,7,2,66.667,0.014,0.72,1
1,0,0,4,14,|,3,0,0,0,0,33.333,0,66.667,0,0,0,0,0,0,0,0,|,0,0,0,0,0.209,10.215,89.501,0,0,0,0,0.047,0,0.028,0,14,2,66.667,0.002,0,1
1,2,5,4,14,|,3,0,0,0,0,0,33.333,66.667,0,0,0,0,0,0,0,0,|,0,0,0,0,0.32,11.977,86.519,0,0,0,0,0.885,0,0.298,0,14,2,66.667,0.005,0,1
2,0,2,5,6,|,3,0,0,0,0,0,0,0,0,0,0,0,66.667,33.333,0,0,|,0,0,0,0.087,0.105,0,0.14,0,0,0,3.328,91.418,4.34,0.413,0.169,6,2,66.667,0.002,0.867,1
2,1,2,3,14,|,3,0,0,0,0,0,33.333,66.667,0,0,0,0,0,0,0,0,|,0,0,0,0.277,5.207,8.552,85.892,0,0,0,0,0,0,0,0.072,14,2,66.667,0.006,0,1
1,1,0,4,5,|,191,0,0,0,0,0,0,0,0,0,19.372,66.492,14.136,0,0,0,|,0,0.031,0,0.062,0.036,0,0.026,0.026,0.629,20.658,60.661,16.508,1.036,0.297,0.029,5,127,66.492,0,0,1
1,0,2,2,10,|,665,0,0,66.466,9.624,1.353,0.15,0.15,0,0,0,0,0,0,0.602,21.654,|,0,0,66.656,12.201,1.455,0.222,0.512,0,0,0,0.004,0.027,0.005,0.559,18.358,10,442,66.466,0,0,1
2,0,1,2,6,|,149,0,0,0,0,0,0,0,0,0,0,14.765,66.443,18.121,0.671,0,|,0,0,0.156,0.096,0.037,0.023,0.458,0,0.002,0.062,10.193,67.08,18.535,2.87,0.488,6,99,66.443,0,0,1
0,1,3,2,13,|,411,0,0,0,0,15.085,66.423,18.491,0,0,0,0,0,0,0,0,|,0,0,0.017,0.233,19.01,65.981,14.731,0,0,0,0.004,0.014,0.009,0,0,13,273,66.423,0,0,1
