On,Off,Ms,Scs,Dev,|,freq,Nd=0,Nd=1,Nd=10,Nd=11,Nd=12,Nd=13,Nd=14,Nd=2,Nd=3,Nd=4,Nd=5,Nd=6,Nd=7,Nd=8,Nd=9,|2,Nd=03,Nd=15,Nd=106,Nd=117,Nd=128,Nd=139,Nd=1410,Nd=211,Nd=312,Nd=413,Nd=514,Nd=615,Nd=716,Nd=817,Nd=918,rule,#correct,%correct,p(rule),p(margin),dev_same_as_rule
2,2,0,2,14,|,9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.003,0.07,3.603,96.321,0,0,0,0,0,0.001,0.002,0,14,9,100,0,0,1
2,2,2,2,14,|,9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.003,0.049,2.89,97.051,0,0,0,0,0.001,0.003,0.004,0,14,9,100,0,0,1
2,2,3,4,14,|,9,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0,0.182,8.875,90.906,0,0,0,0,0.018,0,0.019,0,14,9,100,0,0,1
2,0,0,2,14,|,8,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.006,0.1,5.268,94.611,0,0,0,0,0.002,0.007,0.007,0,14,8,100,0,0,1
0,0,2,5,6,|,7,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,|,0,0,0,0.035,0.042,0,0.09,0,0,0,4.829,91.073,3.58,0.262,0.09,6,7,100,0,0.273,1
1,2,2,3,14,|,7,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.097,2.407,4.245,93.223,0,0,0,0,0,0,0,0.028,14,7,100,0,0,1
1,2,4,2,14,|,7,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.007,0.105,4.386,95.386,0,0,0.001,0,0.027,0.051,0.036,0,14,7,100,0,0,1
1,2,4,3,14,|,7,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.296,5.794,7.057,86.717,0,0,0,0,0,0,0,0.136,14,7,100,0,0,1
2,0,4,2,9,|,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,|,0,0,13.299,1.125,0.134,0.03,0.074,0,0,0,0.002,0.006,0.366,18.026,66.939,9,7,100,0,0,1
0,0,0,4,13,|,3,0,0,0,0,33.333,66.667,0,0,0,0,0,0,0,0,0,|,0,0,0,1.487,35.353,52.793,10.367,0,0,0,0,0,0,0,0,13,2,66.667,0.334,0,1
0,0,5,3,14,|,6,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.707,7.425,9.383,81.825,0,0,0,0,0,0,0,0.66,14,6,100,0,0,1
1,0,0,5,14,|,6,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0,3.297,10.235,85.383,0,0,0,0,1.085,0,0,0,14,6,100,0,0,1
0,0,0,5,1,|,2,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,|,0,0,35.155,37.148,0,0,0,0,0,0,0,27.697,0,0,0,11,1,50,0.995,0.923,0
0,0,0,5,2,|,2,0,50,0,0,0,0,0,0,0,0,50,0,0,0,0,|,0,34.763,0,0,0,0,0,0,0,0,43.856,21.381,0,0,0,5,1,50,0.992,0,0
0,0,0,5,3,|,13,0,0,15.385,7.692,0,0,0,7.692,7.692,7.692,7.692,7.692,7.692,15.385,15.385,|,0,0,14.366,7.238,0,0,0,7.126,7.081,7.058,7.086,14.221,7.148,14.305,14.372,9,2,15.385,0.877,0.567,0
0,0,0,5,4,|,11,0,0,18.182,9.091,0,0,0,0,0,0,36.364,9.091,0,9.091,18.182,|,0,0,14.373,7.357,0,0,0,0,0,0,35.581,14.063,7.122,7.132,14.372,5,4,36.364,0.115,0.879,0
